"TIME","GEO","UNIT","PROD_NRG","ENGINE","Value","Flag and Footnotes"
"1992","Belgium","Number","All Petroleum Products","Total","2,800,000",""
"1992","Belgium","Number","Diesel","Total","1,144,000",""
"1992","Bulgaria","Number","All Petroleum Products","Total",":",""
"1992","Bulgaria","Number","Diesel","Total",":",""
"1992","Czech Republic","Number","All Petroleum Products","Total",":",""
"1992","Czech Republic","Number","Diesel","Total",":",""
"1992","Denmark","Number","All Petroleum Products","Total","1,527,000",""
"1992","Denmark","Number","Diesel","Total","76,000",""
"1992","Germany (until 1990 former territory of the FRG)","Number","All Petroleum Products","Total",":",""
"1992","Germany (until 1990 former territory of the FRG)","Number","Diesel","Total",":",""
"1992","Estonia","Number","All Petroleum Products","Total",":",""
"1992","Estonia","Number","Diesel","Total",":",""
"1992","Ireland","Number","All Petroleum Products","Total","756,941",""
"1992","Ireland","Number","Diesel","Total","99,795",""
"1992","Greece","Number","All Petroleum Products","Total",":",""
"1992","Greece","Number","Diesel","Total",":",""
"1992","Spain","Number","All Petroleum Products","Total",":",""
"1992","Spain","Number","Diesel","Total",":",""
"1992","France","Number","All Petroleum Products","Total",":",""
"1992","France","Number","Diesel","Total","4,876,000",""
"1992","Croatia","Number","All Petroleum Products","Total",":",""
"1992","Croatia","Number","Diesel","Total",":",""
"1992","Italy","Number","All Petroleum Products","Total",":",""
"1992","Italy","Number","Diesel","Total",":",""
"1992","Cyprus","Number","All Petroleum Products","Total",":",""
"1992","Cyprus","Number","Diesel","Total",":",""
"1992","Latvia","Number","All Petroleum Products","Total",":",""
"1992","Latvia","Number","Diesel","Total",":",""
"1992","Lithuania","Number","All Petroleum Products","Total",":",""
"1992","Lithuania","Number","Diesel","Total",":",""
"1992","Luxembourg","Number","All Petroleum Products","Total",":",""
"1992","Luxembourg","Number","Diesel","Total",":",""
"1992","Hungary","Number","All Petroleum Products","Total","1,977,000",""
"1992","Hungary","Number","Diesel","Total","81,000",""
"1992","Malta","Number","All Petroleum Products","Total",":",""
"1992","Malta","Number","Diesel","Total",":",""
"1992","Netherlands","Number","All Petroleum Products","Total",":",""
"1992","Netherlands","Number","Diesel","Total",":",""
"1992","Austria","Number","All Petroleum Products","Total","2,709,000",""
"1992","Austria","Number","Diesel","Total","536,000",""
"1992","Poland","Number","All Petroleum Products","Total",":",""
"1992","Poland","Number","Diesel","Total",":",""
"1992","Portugal","Number","All Petroleum Products","Total",":",""
"1992","Portugal","Number","Diesel","Total",":",""
"1992","Romania","Number","All Petroleum Products","Total",":",""
"1992","Romania","Number","Diesel","Total",":",""
"1992","Slovenia","Number","All Petroleum Products","Total","554,000",""
"1992","Slovenia","Number","Diesel","Total","50,000",""
"1992","Slovakia","Number","All Petroleum Products","Total",":",""
"1992","Slovakia","Number","Diesel","Total",":",""
"1992","Finland","Number","All Petroleum Products","Total","1,774,000","d"
"1992","Finland","Number","Diesel","Total","147,000","d"
"1992","Sweden","Number","All Petroleum Products","Total","3,492,000",""
"1992","Sweden","Number","Diesel","Total","93,000",""
"1992","United Kingdom","Number","All Petroleum Products","Total","20,021,000",""
"1992","United Kingdom","Number","Diesel","Total","949,000",""
"1992","Iceland","Number","All Petroleum Products","Total","114,000",""
"1992","Iceland","Number","Diesel","Total","6,000",""
"1992","Liechtenstein","Number","All Petroleum Products","Total",":",""
"1992","Liechtenstein","Number","Diesel","Total",":",""
"1992","Norway","Number","All Petroleum Products","Total","1,561,000",""
"1992","Norway","Number","Diesel","Total","58,000","d"
"1992","Switzerland","Number","All Petroleum Products","Total","3,006,000",""
"1992","Switzerland","Number","Diesel","Total","84,000",""
"1992","Former Yugoslav Republic of Macedonia, the","Number","All Petroleum Products","Total",":",""
"1992","Former Yugoslav Republic of Macedonia, the","Number","Diesel","Total",":",""
"1992","Turkey","Number","All Petroleum Products","Total",":",""
"1992","Turkey","Number","Diesel","Total",":",""
"1993","Belgium","Number","All Petroleum Products","Total","2,831,000",""
"1993","Belgium","Number","Diesel","Total","1,202,000",""
"1993","Bulgaria","Number","All Petroleum Products","Total",":",""
"1993","Bulgaria","Number","Diesel","Total",":",""
"1993","Czech Republic","Number","All Petroleum Products","Total","2,654,296",""
"1993","Czech Republic","Number","Diesel","Total","170,192",""
"1993","Denmark","Number","All Petroleum Products","Total","1,541,000",""
"1993","Denmark","Number","Diesel","Total","76,000",""
"1993","Germany (until 1990 former territory of the FRG)","Number","All Petroleum Products","Total","33,678,000","d"
"1993","Germany (until 1990 former territory of the FRG)","Number","Diesel","Total","5,080,000","d"
"1993","Estonia","Number","All Petroleum Products","Total",":",""
"1993","Estonia","Number","Diesel","Total",":",""
"1993","Ireland","Number","All Petroleum Products","Total","777,628",""
"1993","Ireland","Number","Diesel","Total","111,530",""
"1993","Greece","Number","All Petroleum Products","Total","1,929,000",""
"1993","Greece","Number","Diesel","Total","27,000",""
"1993","Spain","Number","All Petroleum Products","Total","11,839,000",""
"1993","Spain","Number","Diesel","Total","1,602,000",""
"1993","France","Number","All Petroleum Products","Total",":",""
"1993","France","Number","Diesel","Total","5,536,000",""
"1993","Croatia","Number","All Petroleum Products","Total","529,000",""
"1993","Croatia","Number","Diesel","Total","117,000",""
"1993","Italy","Number","All Petroleum Products","Total",":",""
"1993","Italy","Number","Diesel","Total",":",""
"1993","Cyprus","Number","All Petroleum Products","Total",":",""
"1993","Cyprus","Number","Diesel","Total",":",""
"1993","Latvia","Number","All Petroleum Products","Total","203,600",""
"1993","Latvia","Number","Diesel","Total","3,500",""
"1993","Lithuania","Number","All Petroleum Products","Total",":",""
"1993","Lithuania","Number","Diesel","Total",":",""
"1993","Luxembourg","Number","All Petroleum Products","Total","181,000",""
"1993","Luxembourg","Number","Diesel","Total","36,000",""
"1993","Hungary","Number","All Petroleum Products","Total",":",""
"1993","Hungary","Number","Diesel","Total","121,000",""
"1993","Malta","Number","All Petroleum Products","Total",":",""
"1993","Malta","Number","Diesel","Total",":",""
"1993","Netherlands","Number","All Petroleum Products","Total","4,405,000",""
"1993","Netherlands","Number","Diesel","Total","591,000",""
"1993","Austria","Number","All Petroleum Products","Total","2,749,000",""
"1993","Austria","Number","Diesel","Total","618,000",""
"1993","Poland","Number","All Petroleum Products","Total",":",""
