"TIME","GEO","UNIT","PROD_NRG","Value","Flag and Footnotes"
"1991","Liechtenstein","Thousand","LPG",":",""
"1991","Liechtenstein","Thousand","Natural Gas",":",""
"1991","Liechtenstein","Thousand","Electrical Energy",":",""
"1991","Liechtenstein","Thousand","Other products",":",""
"1991","Norway","Thousand","LPG",":",""
"1991","Norway","Thousand","Natural Gas",":",""
"1991","Norway","Thousand","Electrical Energy",":",""
"1991","Norway","Thousand","Other products",":",""
"1991","Switzerland","Thousand","LPG",":",""
"1991","Switzerland","Thousand","Natural Gas",":",""
"1991","Switzerland","Thousand","Electrical Energy","1",""
"1991","Switzerland","Thousand","Other products",":",""
"1991","Former Yugoslav Republic of Macedonia, the","Thousand","LPG",":",""
"1991","Former Yugoslav Republic of Macedonia, the","Thousand","Natural Gas",":",""
"1991","Former Yugoslav Republic of Macedonia, the","Thousand","Electrical Energy",":",""
"1991","Former Yugoslav Republic of Macedonia, the","Thousand","Other products",":",""
"1991","Turkey","Thousand","LPG",":",""
"1991","Turkey","Thousand","Natural Gas",":",""
"1991","Turkey","Thousand","Electrical Energy",":",""
"1991","Turkey","Thousand","Other products",":",""
"1992","Belgium","Thousand","LPG",":",""
"1992","Belgium","Thousand","Natural Gas",":",""
"1992","Belgium","Thousand","Electrical Energy","0",""
"1992","Belgium","Thousand","Other products",":",""
"1992","Czech Republic","Thousand","LPG",":",""
"1992","Czech Republic","Thousand","Natural Gas",":",""
"1992","Czech Republic","Thousand","Electrical Energy",":",""
"1992","Czech Republic","Thousand","Other products",":",""
"1992","Denmark","Thousand","LPG",":",""
"1992","Denmark","Thousand","Natural Gas",":",""
"1992","Denmark","Thousand","Electrical Energy",":",""
"1992","Denmark","Thousand","Other products",":",""
"1992","Germany (until 1990 former territory of the FRG)","Thousand","LPG",":",""
"1992","Germany (until 1990 former territory of the FRG)","Thousand","Natural Gas",":",""
"1992","Germany (until 1990 former territory of the FRG)","Thousand","Electrical Energy",":",""
"1992","Germany (until 1990 former territory of the FRG)","Thousand","Other products",":",""
"1992","Estonia","Thousand","LPG",":",""
"1992","Estonia","Thousand","Natural Gas",":",""
"1992","Estonia","Thousand","Electrical Energy",":",""
"1992","Estonia","Thousand","Other products",":",""
"1992","Ireland","Thousand","LPG",":",""
"1992","Ireland","Thousand","Natural Gas",":",""
"1992","Ireland","Thousand","Electrical Energy",":",""
"1992","Ireland","Thousand","Other products",":",""
"1992","Spain","Thousand","LPG",":",""
"1992","Spain","Thousand","Natural Gas",":",""
"1992","Spain","Thousand","Electrical Energy",":",""
"1992","Spain","Thousand","Other products",":",""
"1992","France","Thousand","LPG",":",""
"1992","France","Thousand","Natural Gas",":",""
"1992","France","Thousand","Electrical Energy",":",""
"1992","France","Thousand","Other products",":",""
"1992","Croatia","Thousand","LPG",":",""
"1992","Croatia","Thousand","Natural Gas",":",""
"1992","Croatia","Thousand","Electrical Energy",":",""
"1992","Croatia","Thousand","Other products",":",""
"1992","Italy","Thousand","LPG",":",""
"1992","Italy","Thousand","Natural Gas",":",""
"1992","Italy","Thousand","Electrical Energy",":",""
"1992","Italy","Thousand","Other products",":",""
"1992","Cyprus","Thousand","LPG","0",""
"1992","Cyprus","Thousand","Natural Gas","0",""
"1992","Cyprus","Thousand","Electrical Energy","0",""
"1992","Cyprus","Thousand","Other products","0",""
"1992","Latvia","Thousand","LPG",":",""
"1992","Latvia","Thousand","Natural Gas",":",""
"1992","Latvia","Thousand","Electrical Energy",":",""
"1992","Latvia","Thousand","Other products",":",""
"1992","Luxembourg","Thousand","LPG",":",""
"1992","Luxembourg","Thousand","Natural Gas",":",""
"1992","Luxembourg","Thousand","Electrical Energy",":",""
"1992","Luxembourg","Thousand","Other products",":",""
"1992","Hungary","Thousand","LPG",":",""
"1992","Hungary","Thousand","Natural Gas",":",""
"1992","Hungary","Thousand","Electrical Energy","0",""
"1992","Hungary","Thousand","Other products",":",""
"1992","Malta","Thousand","LPG",":",""
"1992","Malta","Thousand","Natural Gas",":",""
"1992","Malta","Thousand","Electrical Energy",":",""
"1992","Malta","Thousand","Other products",":",""
"1992","Netherlands","Thousand","LPG",":",""
"1992","Netherlands","Thousand","Natural Gas",":",""
"1992","Netherlands","Thousand","Electrical Energy",":",""
"1992","Netherlands","Thousand","Other products",":",""
"1992","Austria","Thousand","LPG",":",""
